"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"DejaVuSerifCondensed-BoldItalic.afm.gz","/usr/share/fonts/truetype/dejavu/DejaVuSerifCondensed-BoldItalic.ttf","DejaVu Serif Condensed Bold Italic","DejaVu Serif Condensed","DejaVuSerifCondensed-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"DejaVuSerifCondensed-Italic.afm.gz","/usr/share/fonts/truetype/dejavu/DejaVuSerifCondensed-Italic.ttf","DejaVu Serif Condensed Italic","DejaVu Serif Condensed","DejaVuSerifCondensed-Italic",FALSE,TRUE,FALSE,NA
NA,"DroidNaskh-Regular.afm.gz","/usr/share/fonts/truetype/droid/DroidNaskh-Regular.ttf","Droid Arabic Naskh","Droid Arabic Naskh","DroidArabicNaskh",FALSE,FALSE,FALSE,NA
NA,"DroidNaskh-Bold.afm.gz","/usr/share/fonts/truetype/droid/DroidNaskh-Bold.ttf","Droid Arabic Naskh Bold","Droid Arabic Naskh","DroidArabicNaskh-Bold",TRUE,FALSE,FALSE,NA
NA,"DroidSans.afm.gz","/usr/share/fonts/truetype/droid/DroidSans.ttf","Droid Sans","Droid Sans","DroidSans",FALSE,FALSE,FALSE,NA
NA,"DroidSans-Bold.afm.gz","/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf","Droid Sans Bold","Droid Sans","DroidSans-Bold",TRUE,FALSE,FALSE,NA
NA,"DroidSansArmenian.afm.gz","/usr/share/fonts/truetype/droid/DroidSansArmenian.ttf","Droid Sans Armenian","Droid Sans Armenian","DroidSansArmenian",FALSE,FALSE,FALSE,NA
NA,"DroidSansEthiopic-Regular.afm.gz","/usr/share/fonts/truetype/droid/DroidSansEthiopic-Regular.ttf","Droid Sans Ethiopic","Droid Sans Ethiopic","DroidSansEthiopic",FALSE,FALSE,FALSE,NA
NA,"DroidSansEthiopic-Bold.afm.gz","/usr/share/fonts/truetype/droid/DroidSansEthiopic-Bold.ttf","Droid Sans Ethiopic Bold","Droid Sans Ethiopic","DroidSansEthiopic-Bold",TRUE,FALSE,FALSE,NA
NA,"DroidSansFallbackFull.afm.gz","/usr/share/fonts/truetype/droid/DroidSansFallbackFull.ttf","Droid Sans Fallback","Droid Sans Fallback","DroidSansFallback",FALSE,FALSE,FALSE,NA
